arpabet,character,1_before,2_before,3_before,1_after,2_after,3_after
JH,G,1.38294683668,1.48563151961,1.57852514172,0.541145256335,1.10223702614,1.58099364266
ER,ER,0.771127559464,1.18788087943,1.4651433139,1.44657846415,1.39058475082,1.28689112307
ER,OUR,NONE,1.55997206909,1.52084760639,1.37719124306,1.37589640078,1.49991831437
K,C,1.32799131369,1.28688733607,1.26636581385,1.26662788077,1.34571977918,1.41726530551
K,K,1.48806154226,1.51077952534,1.40875214548,1.14238252258,1.33146101652,1.48980376698
K,CH,1.45992473812,1.47511460967,1.20637324931,NONE,1.17021472077,1.28788856256
K,Q,1.37934745195,1.35237293285,1.32271507012,0.458497082052,0.5764213355,0.968105166096
K,CK,NONE,0.557611393482,1.39252540316,1.16858579681,1.55989522379,1.43073641278
T,T,1.19559777958,1.35200779844,1.50904489717,1.31025022388,1.47727599537,1.55238852521
T,TT,0.0571871028559,0.832297834366,1.47124660958,NONE,1.31679059727,1.42723313927
T,TE,NONE,0.839866308437,1.32786847021,0.259050547151,0.871503071305,0.816455874849
